-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
fiːt̚˩˧	⠋⠾⠠	ᄫᅵᆮ̤	fit5	fit5	⊖	⊖	fǐt	fíd	fid5	fit5	ˏfit	ˏfit	fíht
fiːu̯˥	⠋⠽⠀	ᄫᅲ	fiu1	fiu1	fiu55^1	fiu55^1	fiu	fïu	fiu1	fiu1°	ˈfiu	ˈfiu	fīu
fiːu̯˥˧	↦ ⠋⠽⠀ [fiːu̯˥]	↦ ᄫᅲ [fiːu̯˥]	↦ fiu1 [fiːu̯˥]	↦ fiu1 [fiːu̯˥]	fiu53^1	fiu53^1	↦ fiu [fiːu̯˥]	↦ fïu [fiːu̯˥]	↦ fiu1 [fiːu̯˥]	fiu1	↦ ˈfiu [fiːu̯˥]	↦ ˈfiu [fiːu̯˥]	fìu
fiːu̯˧	⠋⠽⠈	ᄫᅲ〮	fiu3	fiu3	fiu33^3	fiu33^3	fiù	fîu	fiu3	fiu3	ˉfiu	ˉfiu	fiu
fiːu̯˧˥	⠋⠽⠁	ᄫᅲ〯	fiu2	fiu2	fiu35^2	fiu35^2	fiú	fĩu	fiu2	fiu2	ˊfiu	ˊfiu	fíu
fiːu̯˨	⠋⠽⠂	ᄫᅲ̣	fiu6	fiu6	fiu22_3	fiu22_3	fiū	fìu	fiu6	fiu6	ˍfiu	ˍfiu	fiuh
fiːu̯˩	⠋⠽⠄	ᄫᅲ̲	fiu4	fiu4	fiu11_1	fiu11_1	fiû	fiu	fiu4	fiu4	ˌfiu	ˌfiu	fìuh
fiːu̯˩˧	⠋⠽⠠	ᄫᅲ̤	fiu5	fiu5	fiu13_2	fiu13_2	fiǔ	fíu	fiu5	fiu5	ˏfiu	ˏfiu	fíuh
fiːy̯˥	△	△	△	△	fiy55^1	fiy55^1	△	△	△	△	ˈfiy	△	△
fiːy̯˥˧	△	△	△	△	fiy53^1	fiy53^1	△	△	△	△	↦ ˈfiy [fiːy̯˥]	△	△
fiːy̯˧	△	△	△	△	fiy33^3	fiy33^3	△	△	△	△	ˉfiy	△	△
fiːy̯˧˥	△	△	△	△	fiy35^2	fiy35^2	△	△	△	△	ˊfiy	△	△
fiːy̯˨	△	△	△	△	fiy22_3	fiy22_3	△	△	△	△	ˍfiy	△	△
fiːy̯˩	△	△	△	△	fiy11_1	fiy11_1	△	△	△	△	ˌfiy	△	△
fiːy̯˩˧	△	△	△	△	fiy13_2	fiy13_2	△	△	△	△	ˏfiy	△	△
fiːŋ˥	△	△	↦ fing1 [fɪŋ˥]	↦ fing1 [fɪŋ˥]	↦ fiŋ55^1 [fɪŋ˥]	↦ fing55^1 [fɪŋ˥]	↦ fing [fɪŋ˥]	fïng	↦ fing1 [fɪŋ˥]	↦ fing1° [fɪŋ˥]	↦ ˈfiŋ [fɪŋ˥]	↦ ˈfing [fɪŋ˥]	↦ fīng [fɪŋ˥]
fiːŋ˥˧	△	△	↦ fing1 [fɪŋ˥]	↦ fing1 [fɪŋ˥]	↦ fiŋ53^1 [fɪŋ˥˧]	↦ fing53^1 [fɪŋ˥˧]	↦ fing [fɪŋ˥]	↦ fïng [fiːŋ˥]	↦ fing1 [fɪŋ˥]	↦ fing1 [fɪŋ˥˧]	↦ ˈfiŋ [fɪŋ˥]	↦ ˈfing [fɪŋ˥]	↦ fìng [fɪŋ˥˧]
fiːŋ˧	△	△	↦ fing3 [fɪŋ˧]	↦ fing3 [fɪŋ˧]	↦ fiŋ33^3 [fɪŋ˧]	↦ fing33^3 [fɪŋ˧]	↦ fìng [fɪŋ˧]	fîng	↦ fing3 [fɪŋ˧]	↦ fing3 [fɪŋ˧]	↦ ˉfiŋ [fɪŋ˧]	↦ ˉfing [fɪŋ˧]	↦ fing [fɪŋ˧]
fiːŋ˧˥	△	△	↦ fing2 [fɪŋ˧˥]	↦ fing2 [fɪŋ˧˥]	↦ fiŋ35^2 [fɪŋ˧˥]	↦ fing35^2 [fɪŋ˧˥]	↦ fíng [fɪŋ˧˥]	fĩng	↦ fing2 [fɪŋ˧˥]	↦ fing2 [fɪŋ˧˥]	↦ ˊfiŋ [fɪŋ˧˥]	↦ ˊfing [fɪŋ˧˥]	↦ fíng [fɪŋ˧˥]
fiːŋ˨	△	△	↦ fing6 [fɪŋ˨]	↦ fing6 [fɪŋ˨]	↦ fiŋ22_3 [fɪŋ˨]	↦ fing22_3 [fɪŋ˨]	↦ fīng [fɪŋ˨]	fìng	↦ fing6 [fɪŋ˨]	↦ fing6 [fɪŋ˨]	↦ ˍfiŋ [fɪŋ˨]	↦ ˍfing [fɪŋ˨]	↦ fihng [fɪŋ˨]
fiːŋ˩	△	△	↦ fing4 [fɪŋ˩]	↦ fing4 [fɪŋ˩]	↦ fiŋ11_1 [fɪŋ˩]	↦ fing11_1 [fɪŋ˩]	↦ fîng [fɪŋ˩]	fing	↦ fing4 [fɪŋ˩]	↦ fing4 [fɪŋ˩]	↦ ˌfiŋ [fɪŋ˩]	↦ ˌfing [fɪŋ˩]	↦ fìhng [fɪŋ˩]
fiːŋ˩˧	△	△	↦ fing5 [fɪŋ˩˧]	↦ fing5 [fɪŋ˩˧]	↦ fiŋ13_2 [fɪŋ˩˧]	↦ fing13_2 [fɪŋ˩˧]	↦ fǐng [fɪŋ˩˧]	fíng	↦ fing5 [fɪŋ˩˧]	↦ fing5 [fɪŋ˩˧]	↦ ˏfiŋ [fɪŋ˩˧]	↦ ˏfing [fɪŋ˩˧]	↦ fíhng [fɪŋ˩˧]
fm̩˥	△	ᄫᅠᆷ	fm1	fm1	fm55^1	fm55^1	fm	fm̈	fm1	fm1°	ˈfm	ˈfm	fm̄
fm̩˥˧	△	↦ ᄫᅠᆷ [fm̩˥]	↦ fm1 [fm̩˥]	↦ fm1 [fm̩˥]	fm53^1	fm53^1	↦ fm [fm̩˥]	↦ fm̈ [fm̩˥]	↦ fm1 [fm̩˥]	fm1	↦ ˈfm [fm̩˥]	↦ ˈfm [fm̩˥]	fm̀
fm̩˧	△	ᄫᅠᆷ〮	fm3	fm3	fm33^3	fm33^3	fm̀	fm̂	fm3	fm3	ˉfm	ˉfm	fm
fm̩˧˥	△	ᄫᅠᆷ〯	fm2	fm2	fm35^2	fm35^2	fḿ	fm̃	fm2	fm2	ˊfm	ˊfm	fḿ
fm̩˨	△	ᄫᅠᆷ̣	fm6	fm6	fm22_3	fm22_3	fm̄	fm̀	fm6	fm6	ˍfm	ˍfm	fmh
fm̩˩	△	ᄫᅠᆷ̲	fm4	fm4	fm11_1	fm11_1	fm̂	fm	fm4	fm4	ˌfm	ˌfm	fm̀h
fm̩˩˧	△	ᄫᅠᆷ̤	fm5	fm5	fm13_2	fm13_2	fm̌	fḿ	fm5	fm5	ˏfm	ˏfm	fḿh
fo˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fo˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
foi̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fok̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fom˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fon˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fop̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fot̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fou̯˥	⠋⠧⠀	ᄫᆃ	fou1	fou1	fou55^1	fou55^1	fo	föw	fou1	fou1°	ˈfou	ˈfou	fōu
fou̯˥˧	↦ ⠋⠧⠀ [fou̯˥]	↦ ᄫᆃ [fou̯˥]	↦ fou1 [fou̯˥]	↦ fou1 [fou̯˥]	fou53^1	fou53^1	↦ fo [fou̯˥]	↦ föw [fou̯˥]	↦ fou1 [fou̯˥]	fou1	↦ ˈfou [fou̯˥]	↦ ˈfou [fou̯˥]	fòu
fou̯˧	⠋⠧⠈	ᄫᆃ〮	fou3	fou3	fou33^3	fou33^3	fò	fôw	fou3	fou3	ˉfou	ˉfou	fou
fou̯˧˥	⠋⠧⠁	ᄫᆃ〯	fou2	fou2	fou35^2	fou35^2	fó	fõw	fou2	fou2	ˊfou	ˊfou	fóu
fou̯˨	⠋⠧⠂	ᄫᆃ̣	fou6	fou6	fou22_3	fou22_3	fō	fòw	fou6	fou6	ˍfou	ˍfou	fouh
fou̯˩	⠋⠧⠄	ᄫᆃ̲	fou4	fou4	fou11_1	fou11_1	fô	fow	fou4	fou4	ˌfou	ˌfou	fòuh
fou̯˩˧	⠋⠧⠠	ᄫᆃ̤	fou5	fou5	fou13_2	fou13_2	fǒ	fów	fou5	fou5	ˏfou	ˏfou	fóuh
foy̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
foy̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
foŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fuː˥	⠋⠥⠀	ᄫᅮ	fu1	fu1	fu55^1	fu55^1	foo	fü	fu1	foo1°	ˈfu	ˈfu	fū
fuː˥˧	↦ ⠋⠥⠀ [fuː˥]	↦ ᄫᅮ [fuː˥]	↦ fu1 [fuː˥]	↦ fu1 [fuː˥]	fu53^1	fu53^1	↦ foo [fuː˥]	↦ fü [fuː˥]	↦ fu1 [fuː˥]	foo1	↦ ˈfu [fuː˥]	↦ ˈfu [fuː˥]	fù
fuː˧	⠋⠥⠈	ᄫᅮ〮	fu3	fu3	fu33^3	fu33^3	foò	fû	fu3	foo3	ˉfu	ˉfu	fu
fuː˧˥	⠋⠥⠁	ᄫᅮ〯	fu2	fu2	fu35^2	fu35^2	foó	fũ	fu2	foo2	ˊfu	ˊfu	fú
fuː˨	⠋⠥⠂	ᄫᅮ̣	fu6	fu6	fu22_3	fu22_3	foō	fù	fu6	foo6	ˍfu	ˍfu	fuh
fuː˩	⠋⠥⠄	ᄫᅮ̲	fu4	fu4	fu11_1	fu11_1	foô	fu	fu4	foo4	ˌfu	ˌfu	fùh
fuː˩˧	⠋⠥⠠	ᄫᅮ̤	fu5	fu5	fu13_2	fu13_2	foǒ	fú	fu5	foo5	ˏfu	ˏfu	fúh
fuːi̯˥	⠋⠳⠀	ᄫᅱ	fui1	fui1	fui55^1	fui55^1	fooi	füi	fui1	fooi1°	ˈfui	ˈfui	fūi
fuːi̯˥˧	↦ ⠋⠳⠀ [fuːi̯˥]	↦ ᄫᅱ [fuːi̯˥]	↦ fui1 [fuːi̯˥]	↦ fui1 [fuːi̯˥]	fui53^1	fui53^1	↦ fooi [fuːi̯˥]	↦ füi [fuːi̯˥]	↦ fui1 [fuːi̯˥]	fooi1	↦ ˈfui [fuːi̯˥]	↦ ˈfui [fuːi̯˥]	fùi
fuːi̯˧	⠋⠳⠈	ᄫᅱ〮	fui3	fui3	fui33^3	fui33^3	fooì	fûi	fui3	fooi3	ˉfui	ˉfui	fui
fuːi̯˧˥	⠋⠳⠁	ᄫᅱ〯	fui2	fui2	fui35^2	fui35^2	fooí	fũi	fui2	fooi2	ˊfui	ˊfui	fúi
fuːi̯˨	⠋⠳⠂	ᄫᅱ̣	fui6	fui6	fui22_3	fui22_3	fooī	fùi	fui6	fooi6	ˍfui	ˍfui	fuih
fuːi̯˩	⠋⠳⠄	ᄫᅱ̲	fui4	fui4	fui11_1	fui11_1	fooî	fui	fui4	fooi4	ˌfui	ˌfui	fùih
fuːi̯˩˧	⠋⠳⠠	ᄫᅱ̤	fui5	fui5	fui13_2	fui13_2	fooǐ	fúi	fui5	fooi5	ˏfui	ˏfui	fúih
fuːk̚˥	△	△	↦ fuk7 [fʊk̚˥]	↦ fuk1 [fʊk̚˥]	↦ fuk55^4 [fʊk̚˥]	↦ fuk55^4 [fʊk̚˥]	fook	füg	↦ fug1 [fʊk̚˥]	fook1°	↦ ˈfuk [fʊk̚˥]	↦ ˈfuk [fʊk̚˥]	↦ fūk [fʊk̚˥]
fuːk̚˥˧	△	△	↦ fuk7 [fʊk̚˥]	↦ fuk1 [fʊk̚˥]	⊖	⊖	↦ fook [fuːk̚˥]	↦ füg [fuːk̚˥]	↦ fug1 [fʊk̚˥]	fook1	↦ ˈfuk [fʊk̚˥]	↦ ˈfuk [fʊk̚˥]	↦ fùk [fʊk̚˥˧]
fuːk̚˧	△	△	↦ fuk8 [fʊk̚˧]	↦ fuk3 [fʊk̚˧]	↦ fuk33-4 [fʊk̚˧]	↦ fuk33-4 [fʊk̚˧]	foòk	fûg	↦ fug3 [fʊk̚˧]	fook3	↦ ˉfuk [fʊk̚˧]	↦ ˉfuk [fʊk̚˧]	↦ fuk [fʊk̚˧]
fuːk̚˧˥	△	△	↦ fuk2 [fʊk̚˧˥]	↦ fuk2 [fʊk̚˧˥]	⊖	⊖	foók	fũg	↦ fug2 [fʊk̚˧˥]	fook2	↦ ˊfuk [fʊk̚˧˥]	↦ ˊfuk [fʊk̚˧˥]	↦ fúk [fʊk̚˧˥]
fuːk̚˨	△	△	↦ fuk9 [fʊk̚˨]	↦ fuk6 [fʊk̚˨]	↦ fuk22_4 [fʊk̚˨]	↦ fuk22_4 [fʊk̚˨]	foōk	fùg	↦ fug6 [fʊk̚˨]	fook6	↦ ˍfuk [fʊk̚˨]	↦ ˍfuk [fʊk̚˨]	↦ fuhk [fʊk̚˨]
fuːk̚˩	△	△	↦ fuk4 [fʊk̚˩]	↦ fuk4 [fʊk̚˩]	⊖	⊖	foôk	fug	↦ fug4 [fʊk̚˩]	fook4	↦ ˌfuk [fʊk̚˩]	↦ ˌfuk [fʊk̚˩]	↦ fùhk [fʊk̚˩]
fuːk̚˩˧	△	△	↦ fuk5 [fʊk̚˩˧]	↦ fuk5 [fʊk̚˩˧]	⊖	⊖	foǒk	fúg	↦ fug5 [fʊk̚˩˧]	fook5	↦ ˏfuk [fʊk̚˩˧]	↦ ˏfuk [fʊk̚˩˧]	↦ fúhk [fʊk̚˩˧]
fuːm˥	△	△	fum1	fum1	fum55^1	fum55^1	foom	füm	fum1	foom1°	ˈfum	ˈfum	fūm
fuːm˥˧	△	△	↦ fum1 [fuːm˥]	↦ fum1 [fuːm˥]	fum53^1	fum53^1	↦ foom [fuːm˥]	↦ füm [fuːm˥]	↦ fum1 [fuːm˥]	foom1	↦ ˈfum [fuːm˥]	↦ ˈfum [fuːm˥]	fùm
fuːm˧	△	△	fum3	fum3	fum33^3	fum33^3	foòm	fûm	fum3	foom3	ˉfum	ˉfum	fum
fuːm˧˥	△	△	fum2	fum2	fum35^2	fum35^2	foóm	fũm	fum2	foom2	ˊfum	ˊfum	fúm
fuːm˨	△	△	fum6	fum6	fum22_3	fum22_3	foōm	fùm	fum6	foom6	ˍfum	ˍfum	fuhm
fuːm˩	△	△	fum4	fum4	fum11_1	fum11_1	foôm	fum	fum4	foom4	ˌfum	ˌfum	fùhm
fuːm˩˧	△	△	fum5	fum5	fum13_2	fum13_2	foǒm	fúm	fum5	foom5	ˏfum	ˏfum	fúhm
fuːn˥	⠋⠮⠀	ᄫᅮᆫ	fun1	fun1	fun55^1	fun55^1	foon	fün	fun1	foon1°	ˈfun	ˈfun	fūn
fuːn˥˧	↦ ⠋⠮⠀ [fuːn˥]	↦ ᄫᅮᆫ [fuːn˥]	↦ fun1 [fuːn˥]	↦ fun1 [fuːn˥]	fun53^1	fun53^1	↦ foon [fuːn˥]	↦ fün [fuːn˥]	↦ fun1 [fuːn˥]	foon1	↦ ˈfun [fuːn˥]	↦ ˈfun [fuːn˥]	fùn
fuːn˧	⠋⠮⠈	ᄫᅮᆫ〮	fun3	fun3	fun33^3	fun33^3	foòn	fûn	fun3	foon3	ˉfun	ˉfun	fun
fuːn˧˥	⠋⠮⠁	ᄫᅮᆫ〯	fun2	fun2	fun35^2	fun35^2	foón	fũn	fun2	foon2	ˊfun	ˊfun	fún
fuːn˨	⠋⠮⠂	ᄫᅮᆫ̣	fun6	fun6	fun22_3	fun22_3	foōn	fùn	fun6	foon6	ˍfun	ˍfun	fuhn
fuːn˩	⠋⠮⠄	ᄫᅮᆫ̲	fun4	fun4	fun11_1	fun11_1	foôn	fun	fun4	foon4	ˌfun	ˌfun	fùhn
fuːn˩˧	⠋⠮⠠	ᄫᅮᆫ̤	fun5	fun5	fun13_2	fun13_2	foǒn	fún	fun5	foon5	ˏfun	ˏfun	fúhn
fuːp̚˥	△	△	fup7	fup1	fup55^4	fup55^4	foop	füb	fub1	foop1°	ˈfup	ˈfup	fūp
fuːp̚˥˧	△	△	↦ fup7 [fuːp̚˥]	↦ fup1 [fuːp̚˥]	⊖	⊖	↦ foop [fuːp̚˥]	↦ füb [fuːp̚˥]	↦ fub1 [fuːp̚˥]	foop1	↦ ˈfup [fuːp̚˥]	↦ ˈfup [fuːp̚˥]	fùp
fuːp̚˧	△	△	fup8	fup3	fup33-4	fup33-4	foòp	fûb	fub3	foop3	ˉfup	ˉfup	fup
fuːp̚˧˥	△	△	fup2	fup2	⊖	⊖	foóp	fũb	fub2	foop2	ˊfup	ˊfup	fúp
fuːp̚˨	△	△	fup9	fup6	fup22_4	fup22_4	foōp	fùb	fub6	foop6	ˍfup	ˍfup	fuhp
fuːp̚˩	△	△	fup4	fup4	⊖	⊖	foôp	fub	fub4	foop4	ˌfup	ˌfup	fùhp
fuːp̚˩˧	△	△	fup5	fup5	⊖	⊖	foǒp	fúb	fub5	foop5	ˏfup	ˏfup	fúhp
fuːt̚˥	⠋⠵⠀	ᄫᅮᆮ	fut7	fut1	fut55^4	fut55^4	foot	füd	fud1	foot1°	ˈfut	ˈfut	fūt
fuːt̚˥˧	↦ ⠋⠵⠀ [fuːt̚˥]	↦ ᄫᅮᆮ [fuːt̚˥]	↦ fut7 [fuːt̚˥]	↦ fut1 [fuːt̚˥]	⊖	⊖	↦ foot [fuːt̚˥]	↦ füd [fuːt̚˥]	↦ fud1 [fuːt̚˥]	foot1	↦ ˈfut [fuːt̚˥]	↦ ˈfut [fuːt̚˥]	fùt
fuːt̚˧	⠋⠵⠈	ᄫᅮᆮ〮	fut8	fut3	fut33-4	fut33-4	foòt	fûd	fud3	foot3	ˉfut	ˉfut	fut
fuːt̚˧˥	⠋⠵⠁	ᄫᅮᆮ〯	fut2	fut2	⊖	⊖	foót	fũd	fud2	foot2	ˊfut	ˊfut	fút
fuːt̚˨	⠋⠵⠂	ᄫᅮᆮ̣	fut9	fut6	fut22_4	fut22_4	foōt	fùd	fud6	foot6	ˍfut	ˍfut	fuht
fuːt̚˩	⠋⠵⠄	ᄫᅮᆮ̲	fut4	fut4	⊖	⊖	foôt	fud	fud4	foot4	ˌfut	ˌfut	fùht
fuːt̚˩˧	⠋⠵⠠	ᄫᅮᆮ̤	fut5	fut5	⊖	⊖	foǒt	fúd	fud5	foot5	ˏfut	ˏfut	fúht
fuːy̯˥	△	△	△	△	fuy55^1	fuy55^1	△	△	△	△	ˈfuy	△	△
fuːy̯˥˧	△	△	△	△	fuy53^1	fuy53^1	△	△	△	△	↦ ˈfuy [fuːy̯˥]	△	△
fuːy̯˧	△	△	△	△	fuy33^3	fuy33^3	△	△	△	△	ˉfuy	△	△
fuːy̯˧˥	△	△	△	△	fuy35^2	fuy35^2	△	△	△	△	ˊfuy	△	△
fuːy̯˨	△	△	△	△	fuy22_3	fuy22_3	△	△	△	△	ˍfuy	△	△
fuːy̯˩	△	△	△	△	fuy11_1	fuy11_1	△	△	△	△	ˌfuy	△	△
fuːy̯˩˧	△	△	△	△	fuy13_2	fuy13_2	△	△	△	△	ˏfuy	△	△
fuːŋ˥	△	△	↦ fung1 [fʊŋ˥]	↦ fung1 [fʊŋ˥]	↦ fuŋ55^1 [fʊŋ˥]	↦ fung55^1 [fʊŋ˥]	foong	füng	↦ fung1 [fʊŋ˥]	foong1°	↦ ˈfuŋ [fʊŋ˥]	↦ ˈfung [fʊŋ˥]	↦ fūng [fʊŋ˥]
fuːŋ˥˧	△	△	↦ fung1 [fʊŋ˥]	↦ fung1 [fʊŋ˥]	↦ fuŋ53^1 [fʊŋ˥˧]	↦ fung53^1 [fʊŋ˥˧]	↦ foong [fuːŋ˥]	↦ füng [fuːŋ˥]	↦ fung1 [fʊŋ˥]	foong1	↦ ˈfuŋ [fʊŋ˥]	↦ ˈfung [fʊŋ˥]	↦ fùng [fʊŋ˥˧]
fuːŋ˧	△	△	↦ fung3 [fʊŋ˧]	↦ fung3 [fʊŋ˧]	↦ fuŋ33^3 [fʊŋ˧]	↦ fung33^3 [fʊŋ˧]	foòng	fûng	↦ fung3 [fʊŋ˧]	foong3	↦ ˉfuŋ [fʊŋ˧]	↦ ˉfung [fʊŋ˧]	↦ fung [fʊŋ˧]
fuːŋ˧˥	△	△	↦ fung2 [fʊŋ˧˥]	↦ fung2 [fʊŋ˧˥]	↦ fuŋ35^2 [fʊŋ˧˥]	↦ fung35^2 [fʊŋ˧˥]	foóng	fũng	↦ fung2 [fʊŋ˧˥]	foong2	↦ ˊfuŋ [fʊŋ˧˥]	↦ ˊfung [fʊŋ˧˥]	↦ fúng [fʊŋ˧˥]
fuːŋ˨	△	△	↦ fung6 [fʊŋ˨]	↦ fung6 [fʊŋ˨]	↦ fuŋ22_3 [fʊŋ˨]	↦ fung22_3 [fʊŋ˨]	foōng	fùng	↦ fung6 [fʊŋ˨]	foong6	↦ ˍfuŋ [fʊŋ˨]	↦ ˍfung [fʊŋ˨]	↦ fuhng [fʊŋ˨]
fuːŋ˩	△	△	↦ fung4 [fʊŋ˩]	↦ fung4 [fʊŋ˩]	↦ fuŋ11_1 [fʊŋ˩]	↦ fung11_1 [fʊŋ˩]	foông	fung	↦ fung4 [fʊŋ˩]	foong4	↦ ˌfuŋ [fʊŋ˩]	↦ ˌfung [fʊŋ˩]	↦ fùhng [fʊŋ˩]
fuːŋ˩˧	△	△	↦ fung5 [fʊŋ˩˧]	↦ fung5 [fʊŋ˩˧]	↦ fuŋ13_2 [fʊŋ˩˧]	↦ fung13_2 [fʊŋ˩˧]	foǒng	fúng	↦ fung5 [fʊŋ˩˧]	foong5	↦ ˏfuŋ [fʊŋ˩˧]	↦ ˏfung [fʊŋ˩˧]	↦ fúhng [fʊŋ˩˧]
fyː˥	⠋⠹⠀	ᄫᅳ	fy1	fyu1	fy55^1	fyu55^1	fue	feü	fü1	fue1°	ˈfy	ˈfue	fyū
fyː˥˧	↦ ⠋⠹⠀ [fyː˥]	↦ ᄫᅳ [fyː˥]	↦ fy1 [fyː˥]	↦ fyu1 [fyː˥]	fy53^1	fyu53^1	↦ fue [fyː˥]	↦ feü [fyː˥]	↦ fü1 [fyː˥]	fue1	↦ ˈfy [fyː˥]	↦ ˈfue [fyː˥]	fyù
fyː˧	⠋⠹⠈	ᄫᅳ〮	fy3	fyu3	fy33^3	fyu33^3	fuè	feû	fü3	fue3	ˉfy	ˉfue	fyu
fyː˧˥	⠋⠹⠁	ᄫᅳ〯	fy2	fyu2	fy35^2	fyu35^2	fué	feũ	fü2	fue2	ˊfy	ˊfue	fyú
fyː˨	⠋⠹⠂	ᄫᅳ̣	fy6	fyu6	fy22_3	fyu22_3	fuē	feù	fü6	fue6	ˍfy	ˍfue	fyuh
fyː˩	⠋⠹⠄	ᄫᅳ̲	fy4	fyu4	fy11_1	fyu11_1	fuê	feu	fü4	fue4	ˌfy	ˌfue	fyùh
fyː˩˧	⠋⠹⠠	ᄫᅳ̤	fy5	fyu5	fy13_2	fyu13_2	fuě	feú	fü5	fue5	ˏfy	ˏfue	fyúh
fyːi̯˥	△	△	fyi1	fyui1	fyi55^1	fyui55^1	fuei	feüi	füi1	fuei1°	ˈfyi	ˈfuei	fyūi
fyːi̯˥˧	△	△	↦ fyi1 [fyːi̯˥]	↦ fyui1 [fyːi̯˥]	fyi53^1	fyui53^1	↦ fuei [fyːi̯˥]	↦ feüi [fyːi̯˥]	↦ füi1 [fyːi̯˥]	fuei1	↦ ˈfyi [fyːi̯˥]	↦ ˈfuei [fyːi̯˥]	fyùi
fyːi̯˧	△	△	fyi3	fyui3	fyi33^3	fyui33^3	fueì	feûi	füi3	fuei3	ˉfyi	ˉfuei	fyui
fyːi̯˧˥	△	△	fyi2	fyui2	fyi35^2	fyui35^2	fueí	feũi	füi2	fuei2	ˊfyi	ˊfuei	fyúi
fyːi̯˨	△	△	fyi6	fyui6	fyi22_3	fyui22_3	fueī	feùi	füi6	fuei6	ˍfyi	ˍfuei	fyuih
